Age Group,Average Closure Time in Days,Case Closed,City,Closed Cases,Sum of Closure Time (Days),Count of Crime Code,Crime Description,Crime Domain,Date Case Closed,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Day of Week,Distinct Cities,No. of Cases,Sum of Police Deployed,Sum of Report Number,Reported Within 24H,Sum of Reporting Delay (Hours),Time of Occurrence,Time Range,Sum of Victim Age,Victim Gender,Weapon Used
18–29,,No,Ahmedabad,,,1,FRAUD,Other Crime,,2024,Qtr 2,May,17,2024,Qtr 2,May,18,Friday,1,1,5,16778,After 24H,28,1899-12-30 01:20:00,Night,28,F,Explosives
18–29,,No,Ahmedabad,,,1,HOMICIDE,Other Crime,,2020,Qtr 2,June,3,2020,Qtr 3,July,3,Wednesday,1,1,15,274,After 24H,742,1899-12-30 15:01:00,Afternoon,22,M,Knife
18–29,,No,Ahmedabad,,,1,IDENTITY THEFT,Violent Crime,,2020,Qtr 4,November,1,2020,Qtr 4,November,1,Sunday,1,1,18,34,Within 24H,19,1899-12-30 17:21:00,Evening,22,F,Knife
18–29,,No,Ahmedabad,,,1,IDENTITY THEFT,Violent Crime,,2022,Qtr 2,May,11,2022,Qtr 3,August,11,Wednesday,1,1,2,8952,After 24H,2209,1899-12-30 11:22:00,Morning,28,M,Firearm
18–29,,No,Ahmedabad,,,1,IDENTITY THEFT,Violent Crime,,2024,Qtr 2,May,23,2024,Qtr 2,May,24,Thursday,1,1,3,16859,After 24H,34,1899-12-30 12:36:00,Afternoon,19,F,Firearm
18–29,,No,Ahmedabad,,,1,ILLEGAL POSSESSION,Other Crime,,2022,Qtr 4,October,12,2022,Qtr 4,November,12,Wednesday,1,1,3,9409,After 24H,752,1899-12-30 18:07:00,Evening,26,F,Blunt Object
18–29,,No,Ahmedabad,,,1,KIDNAPPING,Other Crime,,2020,Qtr 2,April,19,2020,Qtr 2,April,19,Sunday,1,1,12,447,Within 24H,18,1899-12-30 20:37:00,Evening,21,F,Knife
18–29,,No,Ahmedabad,,,1,KIDNAPPING,Other Crime,,2021,Qtr 4,December,20,2021,Qtr 4,December,22,Monday,1,1,18,4917,After 24H,67,1899-12-30 03:05:00,Night,23,M,Blunt Object
18–29,,No,Ahmedabad,,,1,KIDNAPPING,Other Crime,,2022,Qtr 2,May,20,2022,Qtr 2,May,20,Friday,1,1,2,6606,Within 24H,10,1899-12-30 16:53:00,Afternoon,29,F,Blunt Object
18–29,,No,Ahmedabad,,,1,KIDNAPPING,Other Crime,,2023,Qtr 3,September,16,2023,Qtr 3,September,17,Saturday,1,1,1,13380,After 24H,31,1899-12-30 23:24:00,Night,21,F,None
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2020,Qtr 1,February,26,2020,Qtr 1,February,26,Wednesday,1,1,19,235,Within 24H,23,1899-12-30 09:48:00,Morning,20,F,Knife
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2020,Qtr 2,May,27,2020,Qtr 2,May,30,Wednesday,1,1,2,605,After 24H,74,1899-12-30 12:30:00,Afternoon,26,F,Knife
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2020,Qtr 2,June,22,2020,Qtr 2,June,23,Monday,1,1,2,722,After 24H,35,1899-12-30 17:58:00,Evening,28,F,Knife
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2021,Qtr 1,January,27,2021,Qtr 1,January,29,Wednesday,1,1,2,1845,After 24H,51,1899-12-30 13:35:00,Afternoon,27,F,Poison
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2021,Qtr 1,February,13,2021,Qtr 1,February,15,Saturday,1,1,12,1971,After 24H,70,1899-12-30 23:44:00,Night,21,F,None
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2022,Qtr 3,September,14,2022,Qtr 3,September,16,Wednesday,1,1,4,8211,After 24H,58,1899-12-30 22:01:00,Night,26,F,Poison
18–29,,No,Ahmedabad,,,1,PUBLIC INTOXICATION,Other Crime,,2024,Qtr 2,June,6,2024,Qtr 3,July,6,Thursday,1,1,6,17049,After 24H,725,1899-12-30 15:23:00,Afternoon,27,F,Blunt Object
18–29,,No,Ahmedabad,,,1,ROBBERY,Violent Crime,,2020,Qtr 4,November,28,2020,Qtr 4,November,29,Saturday,1,1,1,1468,After 24H,38,1899-12-30 03:46:00,Night,20,F,Knife
18–29,,No,Ahmedabad,,,1,ROBBERY,Violent Crime,,2023,Qtr 3,July,15,2023,Qtr 3,July,17,Saturday,1,1,5,12512,After 24H,59,1899-12-30 12:58:00,Afternoon,24,F,None
18–29,,No,Ahmedabad,,,1,ROBBERY,Violent Crime,,2024,Qtr 1,March,21,2024,Qtr 1,March,22,Thursday,1,1,14,15997,Within 24H,24,1899-12-30 13:43:00,Afternoon,26,F,Other
18–29,,No,Ahmedabad,,,1,SEXUAL ASSAULT,Violent Crime,,2021,Qtr 1,March,16,2021,Qtr 1,March,18,Tuesday,1,1,18,2224,After 24H,53,1899-12-30 22:45:00,Night,21,F,None
18–29,,No,Ahmedabad,,,1,SEXUAL ASSAULT,Violent Crime,,2021,Qtr 4,October,12,2021,Qtr 4,December,12,Tuesday,1,1,16,4794,After 24H,1471,1899-12-30 16:53:00,Afternoon,20,F,Blunt Object
18–29,,No,Ahmedabad,,,1,SEXUAL ASSAULT,Violent Crime,,2022,Qtr 1,March,26,2022,Qtr 1,March,29,Saturday,1,1,7,6033,After 24H,82,1899-12-30 12:32:00,Afternoon,18,F,Blunt Object
18–29,,No,Ahmedabad,,,1,SEXUAL ASSAULT,Violent Crime,,2022,Qtr 3,July,18,2022,Qtr 3,July,19,Monday,1,1,17,7415,After 24H,47,1899-12-30 11:58:00,Morning,22,F,Poison
18–29,,No,Ahmedabad,,,1,SEXUAL ASSAULT,Violent Crime,,2023,Qtr 4,November,17,2023,Qtr 4,November,18,Friday,1,1,16,14243,After 24H,25,1899-12-30 06:44:00,Morning,25,F,Firearm
18–29,,No,Ahmedabad,,,1,SHOPLIFTING,Other Crime,,2020,Qtr 1,March,12,2020,Qtr 2,April,12,Thursday,1,1,19,1501,After 24H,759,1899-12-30 11:24:00,Morning,25,M,None
18–29,,No,Ahmedabad,,,1,SHOPLIFTING,Other Crime,,2023,Qtr 2,April,9,2023,Qtr 2,May,9,Sunday,1,1,3,13203,After 24H,726,1899-12-30 00:05:00,Night,25,M,Other
18–29,,No,Ahmedabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2021,Qtr 4,November,15,2021,Qtr 4,November,16,Monday,1,1,3,4531,After 24H,45,1899-12-30 03:01:00,Night,25,F,Knife
18–29,,No,Ahmedabad,,,1,TRAFFIC VIOLATION,Traffic Fatality,,2023,Qtr 4,November,24,2023,Qtr 4,November,26,Friday,1,1,3,14356,After 24H,48,1899-12-30 20:56:00,Evening,19,F,Knife
18–29,,No,Ahmedabad,,,1,VANDALISM,Other Crime,,2022,Qtr 1,March,10,2022,Qtr 2,April,10,Thursday,1,1,4,8465,After 24H,751,1899-12-30 10:05:00,Morning,27,M,Explosives
18–29,,No,Ahmedabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 3,September,22,2022,Qtr 3,September,23,Thursday,1,1,4,8307,After 24H,30,1899-12-30 11:28:00,Morning,23,F,Knife
18–29,,No,Ahmedabad,,,1,VEHICLE - STOLEN,Violent Crime,,2022,Qtr 4,December,30,2022,Qtr 4,December,30,Friday,1,1,14,9695,Within 24H,17,1899-12-30 17:03:00,Evening,20,M,Poison
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2022,Qtr 1,January,6,2022,Qtr 1,March,6,Thursday,1,1,15,6784,After 24H,1422,1899-12-30 03:58:00,Night,18,F,Blunt Object
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2022,Qtr 1,January,16,2022,Qtr 1,January,18,Sunday,1,1,5,5222,After 24H,50,1899-12-30 22:24:00,Night,26,F,Explosives
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2022,Qtr 1,February,25,2022,Qtr 1,February,26,Friday,1,1,6,5674,After 24H,46,1899-12-30 07:03:00,Morning,18,F,Poison
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2022,Qtr 4,October,2,2022,Qtr 4,November,2,Sunday,1,1,11,5512,After 24H,764,1899-12-30 05:27:00,Morning,21,F,Poison
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2023,Qtr 1,January,18,2023,Qtr 1,January,21,Wednesday,1,1,19,9994,After 24H,81,1899-12-30 17:00:00,Evening,23,F,Explosives
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2023,Qtr 1,February,23,2023,Qtr 1,February,23,Thursday,1,1,16,10469,Within 24H,6,1899-12-30 17:06:00,Evening,22,M,Knife
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2023,Qtr 2,May,4,2023,Qtr 3,July,4,Thursday,1,1,13,11070,After 24H,1464,1899-12-30 14:38:00,Afternoon,24,M,Firearm
18–29,,No,Bangalore,,,1,ARSON,Fire Accident,,2023,Qtr 2,May,7,2023,Qtr 2,May,7,Sunday,1,1,15,12319,Within 24H,2,1899-12-30 13:36:00,Afternoon,27,F,Explosives
18–29,,No,Bangalore,,,1,ASSAULT,Violent Crime,,2022,Qtr 2,May,9,2022,Qtr 3,July,9,Monday,1,1,8,8095,After 24H,1484,1899-12-30 23:49:00,Night,20,F,Explosives
18–29,,No,Bangalore,,,1,ASSAULT,Violent Crime,,2023,Qtr 3,July,7,2023,Qtr 3,August,7,Friday,1,1,11,12369,After 24H,755,1899-12-30 12:25:00,Afternoon,20,M,Knife
18–29,,No,Bangalore,,,1,ASSAULT,Violent Crime,,2023,Qtr 4,November,17,2023,Qtr 4,November,16,Friday,1,1,11,14228,Within 24H,-4,1899-12-30 05:32:00,Morning,27,M,Explosives
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2020,Qtr 1,January,12,2020,Qtr 1,February,12,Sunday,1,1,8,1483,After 24H,746,1899-12-30 02:06:00,Night,27,F,Knife
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2021,Qtr 3,September,24,2021,Qtr 3,September,25,Friday,1,1,7,4003,After 24H,44,1899-12-30 23:02:00,Night,18,M,None
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2021,Qtr 4,December,23,2021,Qtr 4,December,22,Thursday,1,1,19,4914,Within 24H,-12,1899-12-30 01:22:00,Night,21,M,None
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2023,Qtr 1,March,14,2023,Qtr 1,March,17,Tuesday,1,1,4,10769,After 24H,78,1899-12-30 09:50:00,Morning,28,M,Poison
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2024,Qtr 1,March,6,2024,Qtr 1,February,6,Wednesday,1,1,4,16990,Within 24H,-676,1899-12-30 00:36:00,Night,25,F,Knife
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2024,Qtr 1,March,21,2024,Qtr 1,March,22,Thursday,1,1,10,16006,After 24H,42,1899-12-30 07:05:00,Morning,20,F,None
18–29,,No,Bangalore,,,1,BURGLARY,Other Crime,,2024,Qtr 3,July,29,2024,Qtr 3,July,29,Monday,1,1,17,17780,Within 24H,17,1899-12-30 16:53:00,Afternoon,28,M,Poison
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 1,January,27,2020,Qtr 1,January,27,Monday,1,1,18,104,Within 24H,11,1899-12-30 16:50:00,Afternoon,25,M,Knife
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 1,March,16,2020,Qtr 1,March,17,Monday,1,1,17,309,After 24H,29,1899-12-30 16:11:00,Afternoon,21,F,Knife
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 2,June,13,2020,Qtr 2,June,13,Saturday,1,1,15,673,Within 24H,16,1899-12-30 11:23:00,Morning,29,F,Knife
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 3,July,1,2020,Qtr 3,July,1,Wednesday,1,1,8,18,Within 24H,16,1899-12-30 22:27:00,Night,28,F,Knife
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2020,Qtr 4,November,30,2020,Qtr 1,January,12,Monday,1,1,3,1478,Within 24H,-7735,1899-12-30 14:32:00,Afternoon,28,F,Knife
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2022,Qtr 2,April,28,2022,Qtr 2,April,30,Thursday,1,1,17,6383,After 24H,64,1899-12-30 10:55:00,Morning,18,F,Poison
18–29,,No,Bangalore,,,1,COUNTERFEITING,Other Crime,,2023,Qtr 1,January,8,2023,Qtr 1,January,8,Sunday,1,1,14,12720,Within 24H,4,1899-12-30 16:16:00,Afternoon,18,F,Other
